ordem_analise,data_entrada,expediente_numero,codigo_assunto,descricao_assunto,data_atualizacao,processo_texto,expediente_texto,cnpj_numero,razao_social,assunto_numero,assunto_texto,situacao,dias_analise,ordem_analise_anterior,data_entrada_anterior,data_atualizacao_anterior,diff_ordem,diff_ordem2
1,2024-09-19T17:29:07Z,1291230246,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.617058/2023-32,1291230/24-6,22575103000112,"6B INVENT GERMANY INOX CE - BRASIL, IMPORTAÇÃO E EXPORTAÇÃO - LTDA",80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,118,1,2024-09-19T17:29:07Z,2025-01-06T12:07:30Z,0,Aguardando análise
2,2024-09-23T12:41:58Z,1301693243,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.691469/2009-29,1301693/24-3,00969061000161,CARBOGEL INDUSTRIA E COMERCIO LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,114,2,2024-09-23T12:41:58Z,2025-01-06T12:07:30Z,0,Aguardando análise
3,2024-10-22T13:47:24Z,1450233244,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.366722/2018-11,1450233/24-4,05785287000126,ENDO-MASTER COMÉRCIO DE EQUIPAMENTOS OPTICOS E CIENTÍFICOS LTDA - EPP,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,85,3,2024-10-22T13:47:24Z,2025-01-06T12:07:30Z,0,Aguardando análise
4,2024-10-25T13:01:05Z,1469517248,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.485938/2011-86,1469517/24-8,05823205000190,MAQUIRA INDÚSTRIA DE PRODUTOS ODONTOLÓGICOS S.A.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,82,4,2024-10-25T13:01:05Z,2025-01-06T12:07:30Z,0,Aguardando análise
5,2024-11-06T15:11:09Z,1529580242,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.721521/2023-40,1529580/24-2,09058456000187,MINDRAY DO BRASIL - COMERCIO E DISTRIBUICAO DE EQUIPAMENTOS MEDICOS LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,70,63,2024-11-06T15:11:09Z,2025-01-06T12:07:30Z,58,Aguardando análise
6,2024-11-06T15:54:02Z,1529730244,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.721475/2023-89,1529730/24-4,09058456000187,MINDRAY DO BRASIL - COMERCIO E DISTRIBUICAO DE EQUIPAMENTOS MEDICOS LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,70,64,2024-11-06T15:54:02Z,2025-01-06T12:07:30Z,58,Aguardando análise
7,2024-11-06T16:32:03Z,1529853249,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.721465/2023-43,1529853/24-9,09058456000187,MINDRAY DO BRASIL - COMERCIO E DISTRIBUICAO DE EQUIPAMENTOS MEDICOS LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,70,66,2024-11-06T16:32:03Z,2025-01-06T12:07:30Z,59,Aguardando análise
8,2024-11-06T20:26:57Z,1531595243,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.517003/2017-85,1531595/24-3,68072172000104,IOL IMPLANTES LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,70,73,2024-11-06T20:26:57Z,2025-01-06T12:07:30Z,65,Aguardando análise
9,2024-11-07T12:22:54Z,1533770247,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.716600/2011-90,1533770/24-7,56216781000100,PRODUTOS ORTOPÉDICOS CHANTAL LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,69,77,2024-11-07T12:22:54Z,2025-01-06T12:07:30Z,68,Aguardando análise
10,2024-11-07T14:06:22Z,1535834242,80256,MATERIAL – Alteração de notificação – Implementação imediata,2025-01-16T12:07:03Z,25351.078832/2005-03,1535834/24-2,02966317000102,STRYKER DO BRASIL LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,69,79,2024-11-07T14:06:22Z,2025-01-06T12:07:30Z,69,Aguardando análise
