ordem_analise,data_entrada,expediente_numero,codigo_assunto,descricao_assunto,processo_numero,data_atualizacao,processo_texto,expediente_texto,cnpj_numero,razao_social,assunto_numero,assunto_texto,situacao,dias_analise
1,2024-09-19T17:29:07Z,1291230246,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351617058202332,2025-01-02T14:35:21Z,25351.617058/2023-32,1291230/24-6,22575103000112,"6B INVENT GERMANY INOX CE - BRASIL, IMPORTAÇÃO E EXPORTAÇÃO - LTDA",80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,104
2,2024-09-23T12:41:58Z,1301693243,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351691469200928,2025-01-02T14:35:21Z,25351.691469/2009-29,1301693/24-3,00969061000161,CARBOGEL INDUSTRIA E COMERCIO LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,101
3,2024-10-22T13:47:24Z,1450233244,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351366722201812,2025-01-02T14:35:21Z,25351.366722/2018-11,1450233/24-4,05785287000126,ENDO-MASTER COMÉRCIO DE EQUIPAMENTOS OPTICOS E CIENTÍFICOS LTDA - EPP,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,72
4,2024-10-25T13:01:05Z,1469517248,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351485938201184,2025-01-02T14:35:21Z,25351.485938/2011-86,1469517/24-8,05823205000190,MAQUIRA INDÚSTRIA DE PRODUTOS ODONTOLÓGICOS S.A.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,69
5,2024-10-30T19:54:36Z,1495774244,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351822176201628,2025-01-02T14:35:21Z,25351.822176/2016-29,1495774/24-4,04998723000182,COOPERVISION DO BRASIL LTDA.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,63
6,2024-10-31T11:59:44Z,1498098240,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351358325202412,2025-01-02T14:35:21Z,25351.358325/2024-13,1498098/24-0,00638390000120,OSTEOMED S.A,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,63
7,2024-10-31T12:20:13Z,1498232248,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351540950201768,2025-01-02T14:35:21Z,25351.540950/2017-70,1498232/24-8,31673254000102,LABORATORIOS B BRAUN SA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,63
8,2024-10-31T12:30:55Z,1498287247,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351118271200976,2025-01-02T14:35:21Z,25351.118271/2009-76,1498287/24-7,07489080000130,RAZEK EQUIPAMENTOS LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,63
9,2024-10-31T12:37:48Z,1498349242,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351043699200304,2025-01-02T14:35:21Z,25351.043699/2003-02,1498349/24-2,31673254000102,LABORATORIOS B BRAUN SA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,63
10,2024-10-31T12:51:35Z,1498423248,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351485188202220,2025-01-02T14:35:21Z,25351.485188/2022-19,1498423/24-8,10946634000195,M A S IMPORTACAO E DISTRIBUIÇÃO DE PRODUTOS MÉDICOS LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,63
11,2024-10-31T12:53:39Z,1498431241,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351515233201360,2025-01-02T14:35:21Z,25351.515233/2013-58,1498431/24-1,31673254000102,LABORATORIOS B BRAUN SA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,63
12,2024-10-31T16:13:47Z,1501190245,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351648204201812,2025-01-02T14:35:21Z,25351.648204/2018-12,1501190/24-5,11496097000191,GLADIUS IMPORTAÇÃO E EXPORTAÇÃO LTDA.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,62
13,2024-10-31T16:46:16Z,1501335243,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351431964201232,2025-01-02T14:35:21Z,25351.431964/2012-34,1501335/24-3,02513899000171,GRIFOLS BRASIL LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,62
14,2024-10-31T16:54:18Z,1501330241,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351440822201296,2025-01-02T14:35:21Z,25351.440822/2012-97,1501330/24-1,02513899000171,GRIFOLS BRASIL LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,62
15,2024-10-31T16:57:38Z,1501383248,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351606457201476,2025-01-02T14:35:21Z,25351.606457/2014-75,1501383/24-8,01440590000136,FRESENIUS MEDICAL CARE LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,62
16,2024-10-31T17:02:34Z,1501423240,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351292582202044,2025-01-02T14:35:21Z,25351.292582/2020-43,1501423/24-0,02966317000102,STRYKER DO BRASIL LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,62
17,2024-10-31T17:17:28Z,1501527240,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351848618201832,2025-01-02T14:35:21Z,25351.848618/2018-31,1501527/24-0,05106945000106,DENTSCARE LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,62
18,2024-10-31T18:02:16Z,1501864246,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351209715200592,2025-01-02T14:35:21Z,25351.209715/2005-90,1501864/24-6,54516661000101,JOHNSON  & JOHNSON DO BRASIL INDÚSTRIA E COMÉRCIO DE PRODUTOS PARA SAÚDE LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,62
19,2024-10-31T19:02:41Z,1502404249,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351126939202004,2025-01-02T14:35:21Z,25351.126939/2020-04,1502404/24-9,31673254000102,LABORATORIOS B BRAUN SA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,62
20,2024-10-31T19:21:19Z,1502657244,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351377547202428,2025-01-02T14:35:21Z,25351.377547/2024-27,1502657/24-4,09183319000174,LAS - LATIM AMERICAN SOLUTIONS IMPORTACAO E EXPORTACAO LTDA.,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,62
21,2024-10-31T19:36:59Z,1502797241,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351734455201476,2025-01-02T14:35:21Z,25351.734455/2014-75,1502797/24-1,54516661000101,JOHNSON  & JOHNSON DO BRASIL INDÚSTRIA E COMÉRCIO DE PRODUTOS PARA SAÚDE LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,62
22,2024-10-31T20:57:32Z,1503401243,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351231010201952,2025-01-02T14:35:21Z,25351.231010/2019-54,1503401/24-3,04689134000112,FISHER & PAYKEL DO BRASIL LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,62
23,2024-10-31T22:16:38Z,1503763242,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351636129202216,2025-01-02T14:35:21Z,25351.636129/2022-15,1503763/24-2,54516661000101,JOHNSON  & JOHNSON DO BRASIL INDÚSTRIA E COMÉRCIO DE PRODUTOS PARA SAÚDE LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,62
24,2024-10-31T22:26:09Z,1503781241,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351792112201080,2025-01-02T14:35:21Z,25351.792112/2010-80,1503781/24-1,54516661000101,JOHNSON  & JOHNSON DO BRASIL INDÚSTRIA E COMÉRCIO DE PRODUTOS PARA SAÚDE LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,62
25,2024-10-31T22:44:49Z,1503868249,80256,MATERIAL – Alteração de notificação – Implementação imediata,250000104849281,2025-01-02T14:35:21Z,25000.010484/92-81,1503868/24-9,54516661000101,JOHNSON  & JOHNSON DO BRASIL INDÚSTRIA E COMÉRCIO DE PRODUTOS PARA SAÚDE LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,62
26,2024-11-01T01:43:37Z,1504068246,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351713511201420,2025-01-02T14:35:21Z,25351.713511/2014-19,1504068/24-6,54516661000101,JOHNSON  & JOHNSON DO BRASIL INDÚSTRIA E COMÉRCIO DE PRODUTOS PARA SAÚDE LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,62
27,2024-11-01T11:29:04Z,1504335244,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351059245201912,2025-01-02T14:35:21Z,25351.059245/2019-11,1504335/24-4,58528639000124,TECNIDENT EQUIPAMENTOS ORTODONTICOS LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,62
28,2024-11-01T12:27:28Z,1504617240,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351687955202312,2025-01-02T14:35:21Z,25351.687955/2023-11,1504617/24-0,26185222000110,PASSROD IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS PARA SAÚDE LTDA - ME,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,62
29,2024-11-01T13:34:41Z,1506248241,80256,MATERIAL – Alteração de notificação – Implementação imediata,25351353281202428,2025-01-02T14:35:21Z,25351.353281/2024-27,1506248/24-1,21772748000182,MOVITEK Comércio e Serviços de Importação e Exportação de Produtos Médicos Hospitalares LTDA,80256,MATERIAL – Alteração de notificação – Implementação imediata,Distribuído para a área responsável,62
